rn,SQLDATE,MonthYear,EventCode,SOURCEURL,IsRootEvent,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,NumMentions,NumSources,NumArticles
16122,20181015,201810,040,https://www.tp24.it/2018/10/15/sanita/sicilia-inizia-campagna-antinfluenzale-manca-personale-ambulatori/125724,1,RAGUSA,HRV,FRENCH,FRA,10,1,10
16123,20181015,201810,040,https://www.tp24.it/2018/10/15/sanita/sicilia-inizia-campagna-antinfluenzale-manca-personale-ambulatori/125724,1,FRENCH,FRA,RAGUSA,HRV,10,1,10
16124,20181025,201810,041,http://www.monzatoday.it/salute/influenza-2019-vaccino-informazioni-utili.html,1,ITALY,ITA,,,8,1,8
16125,20181025,201810,041,http://www.monzatoday.it/salute/influenza-2019-vaccino-informazioni-utili.html,1,,,ITALY,ITA,8,1,8
16126,20181022,201810,042,http://spectrumlocalnews.com/nys/binghamton/news/2018/10/21/canine-influenza,1,UNITED STATES,USA,,,8,1,8
16127,20181001,201810,042,http://www.e-consulta.com/nota/2018-10-01/salud/hace-100-anos-influenza-mato-mas-de-7-mil-personas-en-cdmx,1,,,MEXICO,MEX,10,1,10
16128,20181020,201810,042,http://www.eluniversal.com.co/farandula/candidatas-al-reinado-nacional-de-belleza-se-vacunaron-contra-la-influenza-290262,1,COLOMBIA,COL,CARTAGENA,ESP,8,1,8
16129,20181020,201810,042,http://www.eluniversal.com.co/farandula/candidatas-al-reinado-nacional-de-belleza-se-vacunaron-contra-la-influenza-290262,1,,,CARTAGENA,ESP,4,1,4
16130,20181020,201810,042,http://www.eluniversal.com.co/farandula/candidatas-al-reinado-nacional-de-belleza-se-vacunaron-contra-la-influenza-290262,1,,,COLOMBIA,COL,8,1,8
16131,20181004,201810,042,http://www.galesburg.com/news/20181004/influenza-pandemic-overtakes-war-news,0,UNITED STATES,USA,SCHOOL,,1,1,1
16132,20181004,201810,042,http://www.galesburg.com/news/20181004/influenza-pandemic-overtakes-war-news,0,UNITED STATES,USA,SCHOOL,,1,1,1
16133,20181004,201810,042,http://www.galesburg.com/news/20181004/influenza-pandemic-overtakes-war-news,0,UNITED STATES,USA,,,1,1,1
16134,20181004,201810,042,http://www.galesburg.com/news/20181004/influenza-pandemic-overtakes-war-news,0,UNITED STATES,USA,,,1,1,1
16135,20181012,201810,042,https://it.notizie.yahoo.com/convegno-sullinfluenza-italiana-arte-e-architettura-uruguagia-4-105828141.html,1,,,URUGUAYAN,URY,10,1,10
16136,20181003,201810,042,https://news.uga.edu/fighting-the-flu-100-years-of-influenza-vaccine-development/,1,SPAIN,ESP,SCHOOL,,4,1,4
16137,20181004,201810,042,https://noticiassin.com/llega-al-pais-vacuna-contra-influenza/,1,REPUBLICA DOMINICANA,DOM,MINISTRY,,10,1,10
16138,20181003,201810,042,https://www.milforddailynews.com/news/20181002/hopedale-historian-chronicles-spanish-influenza,1,RED CROSS,,,,5,1,5
16139,20181005,201810,042,https://www.newsletter.co.uk/lifestyle/nostalgia/worldwide-influenza-pandemic-shrouded-ireland-with-post-war-sickness-and-death-1-8658238,1,RED CROSS,,WASHINGTON,USA,2,1,2
16140,20181014,201810,042,https://www.process-worldwide.com/jgc-to-construct-influenza-vaccine-manufacturing-facility-for-denka-seiken-a-765784/,1,,,NIIGATA,JPN,2,1,2
16141,20181001,201810,042,https://www.radionz.co.nz/news/pacific/367677/play-based-on-1918-influenza-tragedy-in-samoa-to-premiere-in-london,1,NEW ZEALAND,NZL,APIA,WSM,10,1,10
16142,20181030,201810,042,https://www.sanmarcosrecord.com/features-news-mobile/handle-your-health-influenza-time-again,1,,,TEXAS,USA,5,1,5
16143,20181013,201810,042,https://www.stuff.co.nz/national/health/107298823/New-Zealands-worst-disease-disaster-100-years-since-the-1918-influenza-pandemic,0,NEW ZEALAND,NZL,,,2,1,2
16144,20181013,201810,042,https://www.stuff.co.nz/national/health/107298823/New-Zealands-worst-disease-disaster-100-years-since-the-1918-influenza-pandemic,0,PRIME MINISTER,,,,4,1,4
16145,20181013,201810,042,https://www.stuff.co.nz/national/health/107298823/New-Zealands-worst-disease-disaster-100-years-since-the-1918-influenza-pandemic,0,PRIME MINISTER,,,,1,1,1
16146,20181006,201810,042,https://www.theguardian.pe.ca/community/fighting-deadly-influenza-sickness-was-claiming-victims-of-its-own-here-at-home-247853/,1,BOSTON,USA,,,5,1,5
16147,20181022,201810,043,http://spectrumlocalnews.com/nys/binghamton/news/2018/10/21/canine-influenza,1,,,UNITED STATES,USA,6,1,6
16148,20181022,201810,043,http://spectrumlocalnews.com/nys/binghamton/news/2018/10/21/canine-influenza,1,,,UNITED STATES,USA,2,1,2
16149,20181001,201810,043,http://www.e-consulta.com/nota/2018-10-01/salud/hace-100-anos-influenza-mato-mas-de-7-mil-personas-en-cdmx,1,MEXICO,MEX,,,10,1,10
16150,20181020,201810,043,http://www.eluniversal.com.co/farandula/candidatas-al-reinado-nacional-de-belleza-se-vacunaron-contra-la-influenza-290262,1,CARTAGENA,ESP,,,4,1,4
16151,20181020,201810,043,http://www.eluniversal.com.co/farandula/candidatas-al-reinado-nacional-de-belleza-se-vacunaron-contra-la-influenza-290262,1,COLOMBIA,COL,,,4,1,4
16152,20181020,201810,043,http://www.eluniversal.com.co/farandula/candidatas-al-reinado-nacional-de-belleza-se-vacunaron-contra-la-influenza-290262,1,COLOMBIA,COL,,,4,1,4
16153,20181004,201810,043,http://www.galesburg.com/news/20181004/influenza-pandemic-overtakes-war-news,0,SCHOOL,,UNITED STATES,USA,1,1,1
16154,20181004,201810,043,http://www.galesburg.com/news/20181004/influenza-pandemic-overtakes-war-news,0,SCHOOL,,UNITED STATES,USA,1,1,1
16155,20181004,201810,043,http://www.galesburg.com/news/20181004/influenza-pandemic-overtakes-war-news,0,,,UNITED STATES,USA,1,1,1
16156,20181004,201810,043,http://www.galesburg.com/news/20181004/influenza-pandemic-overtakes-war-news,0,,,UNITED STATES,USA,1,1,1
16157,20181012,201810,043,https://it.notizie.yahoo.com/convegno-sullinfluenza-italiana-arte-e-architettura-uruguagia-4-105828141.html,1,URUGUAYAN,URY,,,10,1,10
16158,20181003,201810,043,https://news.uga.edu/fighting-the-flu-100-years-of-influenza-vaccine-development/,1,SCHOOL,,SPAIN,ESP,2,1,2
16159,20181003,201810,043,https://news.uga.edu/fighting-the-flu-100-years-of-influenza-vaccine-development/,1,SCHOOL,,SPAIN,ESP,2,1,2
16160,20181004,201810,043,https://noticiassin.com/llega-al-pais-vacuna-contra-influenza/,1,MINISTRY,,REPUBLICA DOMINICANA,DOM,10,1,10
16161,20181003,201810,043,https://www.milforddailynews.com/news/20181002/hopedale-historian-chronicles-spanish-influenza,1,,,RED CROSS,,5,1,5
16162,20181005,201810,043,https://www.newsletter.co.uk/lifestyle/nostalgia/worldwide-influenza-pandemic-shrouded-ireland-with-post-war-sickness-and-death-1-8658238,1,WASHINGTON,USA,RED CROSS,,2,1,2
16163,20181014,201810,043,https://www.process-worldwide.com/jgc-to-construct-influenza-vaccine-manufacturing-facility-for-denka-seiken-a-765784/,1,NIIGATA,JPN,,,2,1,2
